"{31C68072-F396-FEE3-E063-4804A8C04F37}","1500","2021-04-22 00:00","PO30 2EL","O","N","F","95","","FAIRLEE ROAD","","NEWPORT","ISLE OF WIGHT","ISLE OF WIGHT","B","A"
"{31C68072-F39A-FEE3-E063-4804A8C04F37}","30000","2021-03-31 00:00","PO30 3AR","O","N","F","ROSE COTTAGE","","","HALE COMMON","NEWPORT","ISLE OF WIGHT","ISLE OF WIGHT","B","A"
"{D425D8D0-2B93-454B-9469-9A7B07BAABE3}","103500","2002-09-30 00:00","PO40 9JY","S","N","F","BELLE FAILTE","","HIGH STREET","","FRESHWATER","ISLE OF WIGHT","ISLE OF WIGHT","A","C"
"{3DF968C4-6DDF-43E1-A389-DB67418DCC6C}","150000","2006-03-29 00:00","PO34 5AB","F","N","L","SANDERLING","","RYDE ROAD","","SEAVIEW","ISLE OF WIGHT","ISLE OF WIGHT","A","C"
"{2A289E9E-58CD-CDC8-E050-A8C063054829}","170000","2001-08-31 00:00","PO31 8PU","D","N","F","KIN OAKS, 129","","WYATTS LANE","","COWES","ISLE OF WIGHT","ISLE OF WIGHT","A","C"
"{31C68072-29A0-FEE3-E063-4804A8C04F37}","280000","2021-04-28 00:00","PO30 2EL","S","N","F","95","","FAIRLEE ROAD","","NEWPORT","ISLE OF WIGHT","ISLE OF WIGHT","A","A"
"{048C7FDA-6CAC-4170-94AC-D3D38338D3D4}","49000","1999-10-22 00:00","PO34 5AB","F","N","L","SANDERLING","","RYDE ROAD","","SEAVIEW","ISLE OF WIGHT","ISLE OF WIGHT","A","C"
"{31C68072-F391-FEE3-E063-4804A8C04F37}","195000","2018-03-23 00:00","PO38 2LA","O","N","F","CANOPY SKATE PARK","","CORVE","CHALE GREEN","VENTNOR","ISLE OF WIGHT","ISLE OF WIGHT","B","A"
"{CD5A9DCC-AF5C-310A-E053-6C04A8C00A1F}","110000","2021-08-31 00:00","PO38 3NH","O","N","F","OLD TIN HUT","","MAIN ROAD","ROOKLEY","VENTNOR","ISLE OF WIGHT","ISLE OF WIGHT","B","C"
"{DE2D0CDF-C279-51EE-E053-6C04A8C00671}","245000","2021-12-10 00:00","PO34 5AB","F","N","L","SANDERLING","","RYDE ROAD","","SEAVIEW","ISLE OF WIGHT","ISLE OF WIGHT","A","C"
"{31C68072-F38D-FEE3-E063-4804A8C04F37}","80000","2016-10-03 00:00","PO33 2AR","O","N","F","28","","BELLEVUE ROAD","","RYDE","ISLE OF WIGHT","ISLE OF WIGHT","B","A"
"{453D27A3-1E9C-EF91-E050-A8C0630574D7}","155000","2016-12-06 00:00","PO34 5AB","F","N","L","SANDERLING","","RYDE ROAD","","SEAVIEW","ISLE OF WIGHT","ISLE OF WIGHT","A","C"
"{453D27A3-1EA2-EF91-E050-A8C0630574D7}","600000","2016-11-01 00:00","PO31 8PU","D","N","F","KIN OAKS, 129","","WYATTS LANE","","COWES","ISLE OF WIGHT","ISLE OF WIGHT","A","C"
"{7011B10A-2F28-8ED6-E053-6B04A8C075C1}","105000","2018-03-23 00:00","PO38 2LA","O","N","F","CORVE BARN","","CORVE","CHALE GREEN","VENTNOR","ISLE OF WIGHT","ISLE OF WIGHT","B","C"
"{31C68072-F389-FEE3-E063-4804A8C04F37}","100500","2022-03-15 00:00","PO32 6AL","O","N","F","1A","","OLD ROAD","","EAST COWES","ISLE OF WIGHT","ISLE OF WIGHT","B","A"
"{31C68072-F394-FEE3-E063-4804A8C04F37}","100000","2022-04-06 00:00","PO36 8QB","O","N","F","SEA BREEZE","","YAVERLAND ROAD","","SANDOWN","ISLE OF WIGHT","ISLE OF WIGHT","B","A"
"{C6209F60-3992-295E-E053-6C04A8C0DDCC}","180000","2021-03-30 00:00","PO34 5AB","F","N","L","SANDERLING","","RYDE ROAD","","SEAVIEW","ISLE OF WIGHT","ISLE OF WIGHT","B","C"
